symbol,fold,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_mdd
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,2.0,4,23,7.636,2.2869,0.7
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,2.0,6,18,8.667,2.241,0.85
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,2.0,8,15,26.385,6.1122,0.46
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,1.0,4,9,-169.802,-6.3993,1.07
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,1.0,6,8,-194.445,-6.1301,1.02
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,1.0,8,8,-42.378,-3.0364,0.66
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,1.5,4,9,-31.132,-2.9764,0.64
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,1.5,6,8,-2.469,-0.3078,0.54
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,1.5,8,8,23.716,3.1132,0.26
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,2.0,4,9,-38.712,-4.273,0.8
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,2.0,6,8,-11.666,-1.6044,0.69
AAVE/USDC:USDC,0,2,25.0,1.5,2.0,2.0,8,8,12.355,1.8166,0.34
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,1.0,4,15,-20.811,-3.109,1.09
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,1.0,6,12,-36.72,-4.5741,1.11
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,1.0,8,12,-21.217,-3.1278,1.02
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,1.5,4,14,-7.248,-1.0662,0.61
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,1.5,6,11,1.662,0.2673,0.69
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,1.5,8,11,14.044,2.5649,0.69
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,2.0,4,15,-11.746,-1.9678,0.77
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,2.0,6,12,6.807,1.1138,0.4
AAVE/USDC:USDC,0,2,25.0,1.5,2.5,2.0,8,11,34.163,5.9897,0.46
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,1.0,4,18,-41.342,-6.1802,1.27
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,1.0,6,13,-98.263,-9.0132,1.53
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,1.0,8,13,-87.278,-8.1682,1.38
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,1.5,4,17,1.912,0.4153,0.7
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,1.5,6,13,-9.788,-1.7404,0.57
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,1.5,8,12,-4.011,-0.7185,0.72
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,2.0,4,18,-3.283,-0.8334,0.81
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,2.0,6,13,5.24,0.8445,0.46
AAVE/USDC:USDC,0,2,25.0,1.5,3.0,2.0,8,12,12.448,2.3471,0.45
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,1.0,4,15,-19.947,-2.8622,0.49
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,1.0,6,15,-61.197,-6.7636,1.13
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,1.0,8,13,-73.396,-6.9375,1.16
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,1.5,4,15,6.616,1.3729,0.61
